ct,time,alert_count,user_count1,user_avg_speed1,tempeature(K),humidity,wind speed
17031010100,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031010201,2016-09-13 17:00:00,1,0,0.0,84.9,51,9.2
17031010202,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031010300,2016-09-13 17:00:00,0,3,16.1269426379,84.9,51,9.2
17031010400,2016-09-13 17:00:00,2,5,2.7451930751599996,84.9,51,9.2
17031010501,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031010502,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031010503,2016-09-13 17:00:00,2,0,0.0,84.9,51,9.2
17031010600,2016-09-13 17:00:00,0,2,7.07342446925,84.9,51,9.2
17031010701,2016-09-13 17:00:00,2,0,0.0,84.9,51,9.2
17031010702,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031020100,2016-09-13 17:00:00,1,0,0.0,84.9,51,9.2
17031020200,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031020301,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031020302,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031020400,2016-09-13 17:00:00,2,0,0.0,84.9,51,9.2
17031020500,2016-09-13 17:00:00,2,0,0.0,84.9,51,9.2
17031020601,2016-09-13 17:00:00,0,1,5.789388924909999,84.9,51,9.2
17031020602,2016-09-13 17:00:00,2,0,0.0,84.9,51,9.2
17031020701,2016-09-13 17:00:00,0,3,5.170415015430001,84.9,51,9.2
17031020702,2016-09-13 17:00:00,1,3,2.0311026401900003,84.9,51,9.2
17031020801,2016-09-13 17:00:00,2,3,14.531077688599998,84.9,51,9.2
17031020802,2016-09-13 17:00:00,3,7,1.4126026633500002,84.9,51,9.2
17031020901,2016-09-13 17:00:00,1,0,0.0,84.9,51,9.2
17031020902,2016-09-13 17:00:00,1,0,0.0,84.9,51,9.2
17031030101,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031030102,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031030103,2016-09-13 17:00:00,0,1,5.00447024549,84.9,51,9.2
17031030104,2016-09-13 17:00:00,0,4,0.0,84.9,51,9.2
17031030200,2016-09-13 17:00:00,0,5,1.44189882626,84.9,51,9.2
17031030300,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031030400,2016-09-13 17:00:00,0,6,4.47502348617,84.9,51,9.2
17031030500,2016-09-13 17:00:00,2,0,0.0,84.9,51,9.2
17031030601,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031030603,2016-09-13 17:00:00,4,0,0.0,84.9,51,9.2
17031030604,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031030701,2016-09-13 17:00:00,2,0,0.0,84.9,51,9.2
17031030702,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031030703,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031030706,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031030800,2016-09-13 17:00:00,1,0,0.0,84.9,51,9.2
17031030900,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031031000,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031031100,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031031200,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031031300,2016-09-13 17:00:00,0,3,25.4451031387,84.9,51,9.2
17031031400,2016-09-13 17:00:00,0,8,23.649466167800004,84.9,51,9.2
17031031501,2016-09-13 17:00:00,0,3,12.7636320052,84.9,51,9.2
17031031502,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031031700,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031031800,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031031900,2016-09-13 17:00:00,1,2,11.033242256600001,84.9,51,9.2
17031032100,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031040100,2016-09-13 17:00:00,1,8,8.04221173963,84.9,51,9.2
17031040201,2016-09-13 17:00:00,1,0,0.0,84.9,51,9.2
17031040202,2016-09-13 17:00:00,0,7,10.9630700781,84.9,51,9.2
17031040300,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031040401,2016-09-13 17:00:00,1,0,0.0,84.9,51,9.2
17031040402,2016-09-13 17:00:00,0,4,11.401109489300001,84.9,51,9.2
17031040600,2016-09-13 17:00:00,0,2,0.0,84.9,51,9.2
17031040700,2016-09-13 17:00:00,0,4,9.89067955997,84.9,51,9.2
17031040800,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031040900,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031050100,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031050200,2016-09-13 17:00:00,0,11,7.18539403827,84.9,51,9.2
17031050300,2016-09-13 17:00:00,1,11,7.18539403827,84.9,51,9.2
17031050500,2016-09-13 17:00:00,2,0,0.0,84.9,51,9.2
17031050600,2016-09-13 17:00:00,0,1,8.51036805069,84.9,51,9.2
17031050700,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031050800,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031050900,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031051000,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031051100,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031051200,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031051300,2016-09-13 17:00:00,0,3,5.34174794806,84.9,51,9.2
17031051400,2016-09-13 17:00:00,2,5,12.1183114092,84.9,51,9.2
17031060100,2016-09-13 17:00:00,0,9,4.62573458524,84.9,51,9.2
17031060200,2016-09-13 17:00:00,1,7,15.033001065799999,84.9,51,9.2
17031060300,2016-09-13 17:00:00,0,9,9.75387871045,84.9,51,9.2
17031060400,2016-09-13 17:00:00,0,5,9.55365840553,84.9,51,9.2
17031060500,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031060800,2016-09-13 17:00:00,0,9,26.337343161,84.9,51,9.2
17031060900,2016-09-13 17:00:00,0,13,29.221138315300003,84.9,51,9.2
17031061000,2016-09-13 17:00:00,0,3,10.1216230245,84.9,51,9.2
17031061100,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031061200,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031061500,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031061800,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031061901,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031061902,2016-09-13 17:00:00,0,7,33.4610415321,84.9,51,9.2
17031062000,2016-09-13 17:00:00,0,1,7.8286391796000006,84.9,51,9.2
17031062100,2016-09-13 17:00:00,0,3,5.15420334455,84.9,51,9.2
17031062200,2016-09-13 17:00:00,0,2,8.37745558966,84.9,51,9.2
17031062300,2016-09-13 17:00:00,0,2,8.37745558966,84.9,51,9.2
17031062400,2016-09-13 17:00:00,0,3,10.3952549157,84.9,51,9.2
17031062500,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031062600,2016-09-13 17:00:00,0,3,6.99765947093,84.9,51,9.2
17031062700,2016-09-13 17:00:00,1,0,0.0,84.9,51,9.2
17031062800,2016-09-13 17:00:00,1,0,0.0,84.9,51,9.2
17031062900,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
17031063000,2016-09-13 17:00:00,0,0,0.0,84.9,51,9.2
