ct,time,alert_count,user_count1,user_avg_speed1,tempeature(K),humidity,wind speed
17031010100,2016-02-26 20:00:00,0,3,10.3440649121,33.1,61,9.2
17031010201,2016-02-26 20:00:00,0,0,0.0,33.1,61,9.2
17031010202,2016-02-26 20:00:00,0,0,0.0,33.1,61,9.2
17031010300,2016-02-26 20:00:00,0,6,4.3884588544800005,33.1,61,9.2
17031010400,2016-02-26 20:00:00,0,16,4.91802629597,33.1,61,9.2
17031010501,2016-02-26 20:00:00,0,5,3.24079961311,33.1,61,9.2
17031010502,2016-02-26 20:00:00,0,7,6.451480243580001,33.1,61,9.2
17031010503,2016-02-26 20:00:00,0,0,0.0,33.1,61,9.2
17031010600,2016-02-26 20:00:00,0,0,0.0,33.1,61,9.2
17031010701,2016-02-26 20:00:00,0,0,0.0,33.1,61,9.2
17031010702,2016-02-26 20:00:00,0,5,3.1595920516500002,33.1,61,9.2
17031020100,2016-02-26 20:00:00,0,0,0.0,33.1,61,9.2
17031020200,2016-02-26 20:00:00,0,17,9.93986002493,33.1,61,9.2
17031020301,2016-02-26 20:00:00,0,5,9.21960860766,33.1,61,9.2
17031020302,2016-02-26 20:00:00,0,5,8.05687859679,33.1,61,9.2
17031020400,2016-02-26 20:00:00,0,0,0.0,33.1,61,9.2
17031020500,2016-02-26 20:00:00,0,7,9.19146437925,33.1,61,9.2
17031020601,2016-02-26 20:00:00,0,0,0.0,33.1,61,9.2
17031020602,2016-02-26 20:00:00,0,1,15.6093176221,33.1,61,9.2
17031020701,2016-02-26 20:00:00,0,0,0.0,33.1,61,9.2
17031020702,2016-02-26 20:00:00,0,4,3.6878335309699994,33.1,61,9.2
17031020801,2016-02-26 20:00:00,0,0,0.0,33.1,61,9.2
17031020802,2016-02-26 20:00:00,0,2,7.375667061950001,33.1,61,9.2
17031020901,2016-02-26 20:00:00,0,7,12.2876321043,33.1,61,9.2
17031020902,2016-02-26 20:00:00,0,0,0.0,33.1,61,9.2
17031030101,2016-02-26 20:00:00,0,0,0.0,33.1,61,9.2
17031030102,2016-02-26 20:00:00,0,0,0.0,33.1,61,9.2
17031030103,2016-02-26 20:00:00,0,0,0.0,33.1,61,9.2
17031030104,2016-02-26 20:00:00,0,0,0.0,33.1,61,9.2
