ct,time,alert_count,user_count1,user_avg_speed1,tempeature(K),humidity,wind speed
17031010100,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031010201,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031010202,2016-01-19 08:00:00,0,4,5.79260646416,3.0,60,6.9
17031010300,2016-01-19 08:00:00,0,1,0.0,3.0,60,6.9
17031010400,2016-01-19 08:00:00,0,6,9.694943858039998,3.0,60,6.9
17031010501,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031010502,2016-01-19 08:00:00,0,6,9.694943858039998,3.0,60,6.9
17031010503,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031010600,2016-01-19 08:00:00,0,5,11.073113284000001,3.0,60,6.9
17031010701,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031010702,2016-01-19 08:00:00,0,5,11.073113284000001,3.0,60,6.9
17031020100,2016-01-19 08:00:00,0,4,14.913779616600001,3.0,60,6.9
17031020200,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031020301,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031020302,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031020400,2016-01-19 08:00:00,0,2,12.199572993099999,3.0,60,6.9
17031020500,2016-01-19 08:00:00,0,6,5.881759784930001,3.0,60,6.9
17031020601,2016-01-19 08:00:00,0,3,8.69966033255,3.0,60,6.9
17031020602,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031020701,2016-01-19 08:00:00,0,1,0.17574051708900001,3.0,60,6.9
17031020702,2016-01-19 08:00:00,0,11,7.878375664989999,3.0,60,6.9
17031020801,2016-01-19 08:00:00,2,6,12.252079043800002,3.0,60,6.9
17031020802,2016-01-19 08:00:00,0,4,8.30239919134,3.0,60,6.9
17031020901,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031020902,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031030101,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031030102,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031030103,2016-01-19 08:00:00,0,2,0.0,3.0,60,6.9
17031030104,2016-01-19 08:00:00,0,2,0.0,3.0,60,6.9
17031030200,2016-01-19 08:00:00,0,3,4.035753272219999,3.0,60,6.9
17031030300,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031030400,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031030500,2016-01-19 08:00:00,1,4,14.5721375429,3.0,60,6.9
17031030601,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031030603,2016-01-19 08:00:00,0,7,19.7307861282,3.0,60,6.9
17031030604,2016-01-19 08:00:00,0,13,2.26858012763,3.0,60,6.9
17031030701,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031030702,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031030703,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031030706,2016-01-19 08:00:00,1,10,3.4135258926099996,3.0,60,6.9
17031030800,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031030900,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031031000,2016-01-19 08:00:00,1,17,7.66563636592,3.0,60,6.9
17031031100,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031031200,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031031300,2016-01-19 08:00:00,4,10,5.36280539033,3.0,60,6.9
17031031400,2016-01-19 08:00:00,4,21,4.24077778773,3.0,60,6.9
17031031501,2016-01-19 08:00:00,1,0,0.0,3.0,60,6.9
17031031502,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031031700,2016-01-19 08:00:00,1,0,0.0,3.0,60,6.9
17031031800,2016-01-19 08:00:00,1,0,0.0,3.0,60,6.9
17031031900,2016-01-19 08:00:00,0,6,4.96548053051,3.0,60,6.9
17031032100,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031040100,2016-01-19 08:00:00,5,21,6.88566571973,3.0,60,6.9
17031040201,2016-01-19 08:00:00,4,16,4.2617162943,3.0,60,6.9
17031040202,2016-01-19 08:00:00,2,12,3.7552859469199995,3.0,60,6.9
17031040300,2016-01-19 08:00:00,1,9,4.96254695094,3.0,60,6.9
17031040401,2016-01-19 08:00:00,3,0,0.0,3.0,60,6.9
17031040402,2016-01-19 08:00:00,2,10,4.05999131053,3.0,60,6.9
17031040600,2016-01-19 08:00:00,1,0,0.0,3.0,60,6.9
17031040700,2016-01-19 08:00:00,2,10,2.33557370814,3.0,60,6.9
17031040800,2016-01-19 08:00:00,0,7,9.18915825527,3.0,60,6.9
17031040900,2016-01-19 08:00:00,1,0,0.0,3.0,60,6.9
17031050100,2016-01-19 08:00:00,1,0,0.0,3.0,60,6.9
17031050200,2016-01-19 08:00:00,1,6,1.12632592919,3.0,60,6.9
17031050300,2016-01-19 08:00:00,0,6,1.12632592919,3.0,60,6.9
17031050500,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031050600,2016-01-19 08:00:00,1,23,9.864468005360001,3.0,60,6.9
17031050700,2016-01-19 08:00:00,0,11,3.2100198499799997,3.0,60,6.9
17031050800,2016-01-19 08:00:00,0,11,3.2100198499799997,3.0,60,6.9
17031050900,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031051000,2016-01-19 08:00:00,1,6,12.634309809100001,3.0,60,6.9
17031051100,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031051200,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031051300,2016-01-19 08:00:00,0,2,6.7209237897300005,3.0,60,6.9
17031051400,2016-01-19 08:00:00,0,13,10.445401654400001,3.0,60,6.9
17031060100,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031060200,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031060300,2016-01-19 08:00:00,2,0,0.0,3.0,60,6.9
17031060400,2016-01-19 08:00:00,8,0,0.0,3.0,60,6.9
17031060500,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031060800,2016-01-19 08:00:00,0,8,5.55314811048,3.0,60,6.9
17031060900,2016-01-19 08:00:00,1,28,8.39280454655,3.0,60,6.9
17031061000,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031061100,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031061200,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031061500,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031061800,2016-01-19 08:00:00,0,7,10.1134633932,3.0,60,6.9
17031061901,2016-01-19 08:00:00,1,0,0.0,3.0,60,6.9
17031061902,2016-01-19 08:00:00,9,13,8.75942388028,3.0,60,6.9
17031062000,2016-01-19 08:00:00,0,1,0.4289867739,3.0,60,6.9
17031062100,2016-01-19 08:00:00,1,3,1.5351837984799999,3.0,60,6.9
17031062200,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031062300,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031062400,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031062500,2016-01-19 08:00:00,1,0,0.0,3.0,60,6.9
17031062600,2016-01-19 08:00:00,2,2,2.4420318753799997,3.0,60,6.9
17031062700,2016-01-19 08:00:00,1,2,14.580695926199999,3.0,60,6.9
17031062800,2016-01-19 08:00:00,0,10,1.4722725180899998,3.0,60,6.9
17031062900,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031063000,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031063100,2016-01-19 08:00:00,0,7,10.6655607847,3.0,60,6.9
17031063200,2016-01-19 08:00:00,3,12,3.28079456056,3.0,60,6.9
17031063301,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031063302,2016-01-19 08:00:00,1,1,10.162358725599999,3.0,60,6.9
17031063303,2016-01-19 08:00:00,3,8,8.989730010319999,3.0,60,6.9
17031063400,2016-01-19 08:00:00,0,6,1.31605678744,3.0,60,6.9
17031070101,2016-01-19 08:00:00,7,29,10.3492900624,3.0,60,6.9
17031070102,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031070103,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031070200,2016-01-19 08:00:00,0,4,2.07723577499,3.0,60,6.9
17031070300,2016-01-19 08:00:00,1,3,0.0,3.0,60,6.9
17031070400,2016-01-19 08:00:00,0,11,5.0545625221399995,3.0,60,6.9
17031070500,2016-01-19 08:00:00,0,22,1.52343204831,3.0,60,6.9
17031070600,2016-01-19 08:00:00,1,16,2.09471906643,3.0,60,6.9
17031070700,2016-01-19 08:00:00,2,13,1.9968855717900003,3.0,60,6.9
17031071000,2016-01-19 08:00:00,1,0,0.0,3.0,60,6.9
17031071100,2016-01-19 08:00:00,1,0,0.0,3.0,60,6.9
17031071200,2016-01-19 08:00:00,1,4,7.2056647093600015,3.0,60,6.9
17031071300,2016-01-19 08:00:00,1,0,0.0,3.0,60,6.9
17031071400,2016-01-19 08:00:00,2,24,5.871215526109999,3.0,60,6.9
17031071500,2016-01-19 08:00:00,2,29,13.3689093351,3.0,60,6.9
17031071600,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031071700,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031071800,2016-01-19 08:00:00,0,4,1.4288496697400002,3.0,60,6.9
17031080100,2016-01-19 08:00:00,0,14,21.5658591652,3.0,60,6.9
17031080201,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031080202,2016-01-19 08:00:00,0,1,1.0830180002399998,3.0,60,6.9
17031080300,2016-01-19 08:00:00,1,2,3.1553823322600003,3.0,60,6.9
17031080400,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031081000,2016-01-19 08:00:00,0,4,6.00301711979,3.0,60,6.9
17031081100,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031081201,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031081300,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031081401,2016-01-19 08:00:00,0,1,13.0653966472,3.0,60,6.9
17031081402,2016-01-19 08:00:00,0,7,0.17195739476,3.0,60,6.9
17031081500,2016-01-19 08:00:00,0,10,4.14180752845,3.0,60,6.9
17031081600,2016-01-19 08:00:00,0,7,4.064928359830001,3.0,60,6.9
17031081700,2016-01-19 08:00:00,0,23,5.99741471579,3.0,60,6.9
17031081800,2016-01-19 08:00:00,0,47,4.58648907806,3.0,60,6.9
17031081900,2016-01-19 08:00:00,0,0,0.0,3.0,60,6.9
17031090100,2016-01-19 08:00:00,0,3,14.855523203299999,3.0,60,6.9
17031090200,2016-01-19 08:00:00,1,18,12.419994091700001,3.0,60,6.9
17031090300,2016-01-19 08:00:00,0,15,11.932888269400001,3.0,60,6.9
17031100100,2016-01-19 08:00:00,1,12,11.5898223681,3.0,60,6.9
