ct,time,alert_count,user_count1,user_avg_speed1,tempeature(K),humidity,wind speed
17031010100,2016-09-14 18:00:00,0,0,0.0,72.0,51,13.8
17031010201,2016-09-14 18:00:00,2,0,0.0,72.0,51,13.8
17031010202,2016-09-14 18:00:00,0,0,0.0,72.0,51,13.8
17031010300,2016-09-14 18:00:00,0,0,0.0,72.0,51,13.8
17031010400,2016-09-14 18:00:00,3,0,0.0,72.0,51,13.8
17031010501,2016-09-14 18:00:00,1,0,0.0,72.0,51,13.8
17031010502,2016-09-14 18:00:00,2,0,0.0,72.0,51,13.8
17031010503,2016-09-14 18:00:00,0,0,0.0,72.0,51,13.8
17031010600,2016-09-14 18:00:00,0,0,0.0,72.0,51,13.8
17031010701,2016-09-14 18:00:00,0,0,0.0,72.0,51,13.8
17031010702,2016-09-14 18:00:00,0,0,0.0,72.0,51,13.8
17031020100,2016-09-14 18:00:00,2,0,0.0,72.0,51,13.8
17031020200,2016-09-14 18:00:00,0,0,0.0,72.0,51,13.8
17031020301,2016-09-14 18:00:00,0,0,0.0,72.0,51,13.8
17031020302,2016-09-14 18:00:00,0,0,0.0,72.0,51,13.8
17031020400,2016-09-14 18:00:00,0,2,4.2483880115499995,72.0,51,13.8
17031020500,2016-09-14 18:00:00,0,1,10.922631914,72.0,51,13.8
17031020601,2016-09-14 18:00:00,0,0,0.0,72.0,51,13.8
17031020602,2016-09-14 18:00:00,0,1,10.922631914,72.0,51,13.8
17031020701,2016-09-14 18:00:00,3,8,4.29008347999,72.0,51,13.8
17031020702,2016-09-14 18:00:00,3,3,5.79216084957,72.0,51,13.8
17031020801,2016-09-14 18:00:00,2,7,3.06073712057,72.0,51,13.8
17031020802,2016-09-14 18:00:00,2,0,0.0,72.0,51,13.8
17031020901,2016-09-14 18:00:00,1,0,0.0,72.0,51,13.8
17031020902,2016-09-14 18:00:00,1,0,0.0,72.0,51,13.8
17031030101,2016-09-14 18:00:00,0,0,0.0,72.0,51,13.8
17031030102,2016-09-14 18:00:00,0,0,0.0,72.0,51,13.8
17031030103,2016-09-14 18:00:00,1,0,0.0,72.0,51,13.8
17031030104,2016-09-14 18:00:00,0,0,0.0,72.0,51,13.8
17031030200,2016-09-14 18:00:00,0,4,2.03309522235,72.0,51,13.8
17031030300,2016-09-14 18:00:00,1,0,0.0,72.0,51,13.8
17031030400,2016-09-14 18:00:00,1,1,9.1734511778,72.0,51,13.8
17031030500,2016-09-14 18:00:00,0,3,2.7501036923199997,72.0,51,13.8
17031030601,2016-09-14 18:00:00,1,0,0.0,72.0,51,13.8
17031030603,2016-09-14 18:00:00,1,0,0.0,72.0,51,13.8
17031030604,2016-09-14 18:00:00,0,5,0.175053144574,72.0,51,13.8
17031030701,2016-09-14 18:00:00,0,0,0.0,72.0,51,13.8
17031030702,2016-09-14 18:00:00,0,0,0.0,72.0,51,13.8
17031030703,2016-09-14 18:00:00,1,0,0.0,72.0,51,13.8
17031030706,2016-09-14 18:00:00,1,8,15.1730984824,72.0,51,13.8
17031030800,2016-09-14 18:00:00,3,0,0.0,72.0,51,13.8
17031030900,2016-09-14 18:00:00,2,3,11.1073521245,72.0,51,13.8
17031031000,2016-09-14 18:00:00,2,11,6.59149174753,72.0,51,13.8
17031031100,2016-09-14 18:00:00,0,0,0.0,72.0,51,13.8
17031031200,2016-09-14 18:00:00,0,0,0.0,72.0,51,13.8
17031031300,2016-09-14 18:00:00,1,15,15.5406006212,72.0,51,13.8
17031031400,2016-09-14 18:00:00,1,1,9.09982314469,72.0,51,13.8
17031031501,2016-09-14 18:00:00,0,1,0.20456958545,72.0,51,13.8
17031031502,2016-09-14 18:00:00,0,0,0.0,72.0,51,13.8
17031031700,2016-09-14 18:00:00,0,0,0.0,72.0,51,13.8
17031031800,2016-09-14 18:00:00,0,0,0.0,72.0,51,13.8
17031031900,2016-09-14 18:00:00,0,2,4.123161827880001,72.0,51,13.8
17031032100,2016-09-14 18:00:00,0,0,0.0,72.0,51,13.8
17031040100,2016-09-14 18:00:00,3,7,1.58898722086,72.0,51,13.8
17031040201,2016-09-14 18:00:00,0,5,0.0,72.0,51,13.8
17031040202,2016-09-14 18:00:00,0,5,7.817793053110001,72.0,51,13.8
17031040300,2016-09-14 18:00:00,0,0,0.0,72.0,51,13.8
17031040401,2016-09-14 18:00:00,0,5,0.0,72.0,51,13.8
17031040402,2016-09-14 18:00:00,1,3,7.497601984349999,72.0,51,13.8
17031040600,2016-09-14 18:00:00,2,0,0.0,72.0,51,13.8
17031040700,2016-09-14 18:00:00,0,1,6.33489187355,72.0,51,13.8
