ct,time,alert_count,user_count1,user_avg_speed1,tempeature(K),humidity,wind speed
17031010100,2016-02-28 03:00:00,0,0,0.0,46.0,58,15.0
17031010201,2016-02-28 03:00:00,0,3,8.98092910924,46.0,58,15.0
17031010202,2016-02-28 03:00:00,0,0,0.0,46.0,58,15.0
17031010300,2016-02-28 03:00:00,0,7,14.9022250121,46.0,58,15.0
17031010400,2016-02-28 03:00:00,0,6,20.4648487852,46.0,58,15.0
17031010501,2016-02-28 03:00:00,0,0,0.0,46.0,58,15.0
17031010502,2016-02-28 03:00:00,0,6,20.4648487852,46.0,58,15.0
17031010503,2016-02-28 03:00:00,0,0,0.0,46.0,58,15.0
17031010600,2016-02-28 03:00:00,0,0,0.0,46.0,58,15.0
17031010701,2016-02-28 03:00:00,0,2,6.2669776080199995,46.0,58,15.0
17031010702,2016-02-28 03:00:00,0,0,0.0,46.0,58,15.0
17031020100,2016-02-28 03:00:00,0,0,0.0,46.0,58,15.0
17031020200,2016-02-28 03:00:00,0,0,0.0,46.0,58,15.0
17031020301,2016-02-28 03:00:00,0,0,0.0,46.0,58,15.0
17031020302,2016-02-28 03:00:00,0,0,0.0,46.0,58,15.0
17031020400,2016-02-28 03:00:00,0,19,10.3593351472,46.0,58,15.0
17031020500,2016-02-28 03:00:00,0,2,11.3859929526,46.0,58,15.0
17031020601,2016-02-28 03:00:00,0,5,8.70111673604,46.0,58,15.0
17031020602,2016-02-28 03:00:00,0,0,0.0,46.0,58,15.0
17031020701,2016-02-28 03:00:00,0,0,0.0,46.0,58,15.0
17031020702,2016-02-28 03:00:00,0,5,8.70111673604,46.0,58,15.0
17031020801,2016-02-28 03:00:00,0,0,0.0,46.0,58,15.0
17031020802,2016-02-28 03:00:00,0,0,0.0,46.0,58,15.0
17031020901,2016-02-28 03:00:00,0,3,14.809468739100001,46.0,58,15.0
17031020902,2016-02-28 03:00:00,0,10,2.54624338571,46.0,58,15.0
17031030101,2016-02-28 03:00:00,0,0,0.0,46.0,58,15.0
17031030102,2016-02-28 03:00:00,0,0,0.0,46.0,58,15.0
17031030103,2016-02-28 03:00:00,0,8,4.86963070905,46.0,58,15.0
17031030104,2016-02-28 03:00:00,0,9,5.57827616912,46.0,58,15.0
17031030200,2016-02-28 03:00:00,0,6,0.181502782844,46.0,58,15.0
17031030300,2016-02-28 03:00:00,0,0,0.0,46.0,58,15.0
17031030400,2016-02-28 03:00:00,0,0,0.0,46.0,58,15.0
17031030500,2016-02-28 03:00:00,0,2,6.34362319966,46.0,58,15.0
17031030601,2016-02-28 03:00:00,0,0,0.0,46.0,58,15.0
17031030603,2016-02-28 03:00:00,0,3,12.143882391199998,46.0,58,15.0
17031030604,2016-02-28 03:00:00,0,4,18.1098860413,46.0,58,15.0
17031030701,2016-02-28 03:00:00,0,0,0.0,46.0,58,15.0
17031030702,2016-02-28 03:00:00,0,0,0.0,46.0,58,15.0
17031030703,2016-02-28 03:00:00,0,0,0.0,46.0,58,15.0
17031030706,2016-02-28 03:00:00,0,7,22.5262372366,46.0,58,15.0
17031030800,2016-02-28 03:00:00,1,0,0.0,46.0,58,15.0
17031030900,2016-02-28 03:00:00,0,0,0.0,46.0,58,15.0
17031031000,2016-02-28 03:00:00,0,11,9.4334251413,46.0,58,15.0
17031031100,2016-02-28 03:00:00,1,0,0.0,46.0,58,15.0
17031031200,2016-02-28 03:00:00,0,0,0.0,46.0,58,15.0
17031031300,2016-02-28 03:00:00,0,12,22.295774569499997,46.0,58,15.0
17031031400,2016-02-28 03:00:00,0,20,8.68835012029,46.0,58,15.0
