ct,time,alert_count,user_count1,user_avg_speed1,tempeature(K),humidity,wind speed
17031010100,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031010201,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031010202,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031010300,2016-08-10 12:00:00,0,1,4.48110682601,89.1,45,3.5
17031010400,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031010501,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031010502,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031010503,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031010600,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031010701,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031010702,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031020100,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031020200,2016-08-10 12:00:00,1,0,0.0,89.1,45,3.5
17031020301,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031020302,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031020400,2016-08-10 12:00:00,0,3,12.673740625399999,89.1,45,3.5
17031020500,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031020601,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031020602,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031020701,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031020702,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031020801,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031020802,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031020901,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031020902,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031030101,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031030102,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031030103,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031030104,2016-08-10 12:00:00,0,5,10.39495408,89.1,45,3.5
17031030200,2016-08-10 12:00:00,0,5,10.39495408,89.1,45,3.5
17031030300,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031030400,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031030500,2016-08-10 12:00:00,1,4,8.418779890680002,89.1,45,3.5
17031030601,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031030603,2016-08-10 12:00:00,0,1,0.194551028066,89.1,45,3.5
17031030604,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031030701,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031030702,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031030703,2016-08-10 12:00:00,0,5,13.0050341652,89.1,45,3.5
17031030706,2016-08-10 12:00:00,0,9,17.2064816659,89.1,45,3.5
17031030800,2016-08-10 12:00:00,1,5,13.0050341652,89.1,45,3.5
17031030900,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031031000,2016-08-10 12:00:00,1,11,7.74293891628,89.1,45,3.5
17031031100,2016-08-10 12:00:00,1,0,0.0,89.1,45,3.5
17031031200,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031031300,2016-08-10 12:00:00,0,5,15.0028633675,89.1,45,3.5
17031031400,2016-08-10 12:00:00,0,8,23.8424764585,89.1,45,3.5
17031031501,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031031502,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031031700,2016-08-10 12:00:00,1,0,0.0,89.1,45,3.5
17031031800,2016-08-10 12:00:00,1,7,5.616514758019999,89.1,45,3.5
17031031900,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031032100,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031040100,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031040201,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031040202,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031040300,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031040401,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031040402,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031040600,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031040700,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031040800,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031040900,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031050100,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031050200,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031050300,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031050500,2016-08-10 12:00:00,1,0,0.0,89.1,45,3.5
17031050600,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031050700,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031050800,2016-08-10 12:00:00,1,0,0.0,89.1,45,3.5
17031050900,2016-08-10 12:00:00,0,5,2.8976701579500004,89.1,45,3.5
17031051000,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031051100,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031051200,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031051300,2016-08-10 12:00:00,1,0,0.0,89.1,45,3.5
17031051400,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031060100,2016-08-10 12:00:00,0,6,12.0945687017,89.1,45,3.5
17031060200,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031060300,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031060400,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031060500,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031060800,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031060900,2016-08-10 12:00:00,1,0,0.0,89.1,45,3.5
17031061000,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031061100,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031061200,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031061500,2016-08-10 12:00:00,0,7,4.56165469285,89.1,45,3.5
17031061800,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031061901,2016-08-10 12:00:00,1,0,0.0,89.1,45,3.5
17031061902,2016-08-10 12:00:00,2,0,0.0,89.1,45,3.5
17031062000,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031062100,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031062200,2016-08-10 12:00:00,0,13,10.3613017088,89.1,45,3.5
17031062300,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031062400,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031062500,2016-08-10 12:00:00,0,0,0.0,89.1,45,3.5
17031062600,2016-08-10 12:00:00,0,7,3.60750265484,89.1,45,3.5
17031062700,2016-08-10 12:00:00,0,7,3.60750265484,89.1,45,3.5
17031062800,2016-08-10 12:00:00,0,15,3.74812413665,89.1,45,3.5
