ct,time,alert_count,user_count1,user_avg_speed1,tempeature(K),humidity,wind speed
17031010100,2016-02-17 18:00:00,0,0,0.0,28.9,58,8.1
17031010201,2016-02-17 18:00:00,0,0,0.0,28.9,58,8.1
17031010202,2016-02-17 18:00:00,1,8,1.4293141093200001,28.9,58,8.1
17031010300,2016-02-17 18:00:00,0,22,4.5812593140699995,28.9,58,8.1
17031010400,2016-02-17 18:00:00,2,19,6.508545508509999,28.9,58,8.1
17031010501,2016-02-17 18:00:00,0,9,9.249479738969999,28.9,58,8.1
17031010502,2016-02-17 18:00:00,1,0,0.0,28.9,58,8.1
17031010503,2016-02-17 18:00:00,1,0,0.0,28.9,58,8.1
17031010600,2016-02-17 18:00:00,0,0,0.0,28.9,58,8.1
17031010701,2016-02-17 18:00:00,1,0,0.0,28.9,58,8.1
17031010702,2016-02-17 18:00:00,0,0,0.0,28.9,58,8.1
17031020100,2016-02-17 18:00:00,0,0,0.0,28.9,58,8.1
17031020200,2016-02-17 18:00:00,1,7,5.716684797819999,28.9,58,8.1
17031020301,2016-02-17 18:00:00,0,0,0.0,28.9,58,8.1
17031020302,2016-02-17 18:00:00,0,0,0.0,28.9,58,8.1
17031020400,2016-02-17 18:00:00,1,3,8.222689149939999,28.9,58,8.1
17031020500,2016-02-17 18:00:00,0,10,8.84200086059,28.9,58,8.1
17031020601,2016-02-17 18:00:00,0,0,0.0,28.9,58,8.1
17031020602,2016-02-17 18:00:00,0,10,8.84200086059,28.9,58,8.1
17031020701,2016-02-17 18:00:00,0,0,0.0,28.9,58,8.1
17031020702,2016-02-17 18:00:00,1,0,0.0,28.9,58,8.1
17031020801,2016-02-17 18:00:00,0,0,0.0,28.9,58,8.1
17031020802,2016-02-17 18:00:00,0,1,0.13613780101,28.9,58,8.1
17031020901,2016-02-17 18:00:00,0,0,0.0,28.9,58,8.1
17031020902,2016-02-17 18:00:00,2,0,0.0,28.9,58,8.1
17031030101,2016-02-17 18:00:00,0,0,0.0,28.9,58,8.1
17031030102,2016-02-17 18:00:00,0,0,0.0,28.9,58,8.1
17031030103,2016-02-17 18:00:00,0,0,0.0,28.9,58,8.1
17031030104,2016-02-17 18:00:00,0,0,0.0,28.9,58,8.1
17031030200,2016-02-17 18:00:00,0,7,5.84142062394,28.9,58,8.1
17031030300,2016-02-17 18:00:00,0,0,0.0,28.9,58,8.1
17031030400,2016-02-17 18:00:00,0,9,3.85016272295,28.9,58,8.1
17031030500,2016-02-17 18:00:00,0,29,7.10685928648,28.9,58,8.1
17031030601,2016-02-17 18:00:00,0,0,0.0,28.9,58,8.1
17031030603,2016-02-17 18:00:00,0,7,0.185229463442,28.9,58,8.1
17031030604,2016-02-17 18:00:00,1,13,2.46822496125,28.9,58,8.1
17031030701,2016-02-17 18:00:00,0,0,0.0,28.9,58,8.1
17031030702,2016-02-17 18:00:00,0,0,0.0,28.9,58,8.1
17031030703,2016-02-17 18:00:00,0,0,0.0,28.9,58,8.1
17031030706,2016-02-17 18:00:00,1,3,10.3924014511,28.9,58,8.1
17031030800,2016-02-17 18:00:00,0,0,0.0,28.9,58,8.1
17031030900,2016-02-17 18:00:00,0,0,0.0,28.9,58,8.1
17031031000,2016-02-17 18:00:00,0,4,10.673367607000001,28.9,58,8.1
17031031100,2016-02-17 18:00:00,0,4,10.673367607000001,28.9,58,8.1
17031031200,2016-02-17 18:00:00,0,0,0.0,28.9,58,8.1
17031031300,2016-02-17 18:00:00,0,0,0.0,28.9,58,8.1
17031031400,2016-02-17 18:00:00,0,3,23.5672158178,28.9,58,8.1
